time_us,ax,ay,az,gx,gy,gz
0,0.536301,0.186748,11.087548,2.438623,-1.898377,-1.095922
4000,0.620098,0.205901,11.164163,2.972974,-1.852576,-1.492869
8000,0.581791,0.229843,11.149797,3.110379,-2.661736,-2.042487
12000,0.548272,0.117316,11.216835,3.415722,-4.325858,-2.515770
16000,0.519542,0.174777,11.125855,3.950073,-5.822041,-2.943251
20000,0.593762,0.136469,11.128249,4.224883,-6.783873,-3.172258
24000,0.610521,0.098162,10.967838,4.484425,-7.562499,-3.844014
28000,0.409408,0.083797,10.955867,4.377554,-8.020514,-4.149358
32000,0.330400,0.105345,10.826580,3.889004,-8.142652,-4.088289
36000,0.287304,0.155623,10.943896,3.400455,-8.005247,-3.935617
40000,0.356736,0.141258,10.862494,3.003508,-6.661736,-4.240961
44000,0.258574,0.160412,10.733206,2.469157,-3.928911,-4.179892
48000,-0.090980,0.177171,10.730812,1.934806,-1.944179,-3.660808
52000,-0.222661,0.174777,10.742783,1.263050,-0.722805,-2.592106
56000,-0.169988,0.294487,10.764331,1.217249,0.101623,-1.584472
60000,-0.110133,0.201113,10.831368,0.484424,0.849715,-0.683709
64000,-0.083797,0.179565,10.888829,0.469157,1.078722,-0.286762
68000,0.114922,0.074220,10.910378,0.453890,1.353531,0.339192
72000,0.294487,0.119710,10.994174,0.530226,1.628341,0.339192
76000,0.325611,0.146046,11.006145,0.759233,2.437501,0.186520
80000,0.289698,0.105345,11.003751,0.759233,1.948951,-0.057755
84000,0.318429,0.119710,10.948685,1.079844,1.628341,0.171253
88000,0.373495,0.071826,10.975020,0.927172,1.032921,-0.286762
92000,0.287304,0.059855,11.013328,1.064577,0.529104,-0.698976
96000,0.227449,0.033519,11.037270,1.049310,-0.661736,-0.561571
100000,0.292093,0.090980,11.087548,1.889004,-1.959446,-0.378365
104000,0.418985,0.069432,11.030087,2.224883,-2.631201,-0.531037
108000,0.442927,0.031125,10.864887,2.179081,-2.844942,-0.836380
112000,0.414197,-0.002394,10.711658,1.705798,-3.516698,-1.080655
116000,0.471658,-0.002394,10.737994,1.293585,-4.524331,-1.523403
120000,0.363919,-0.009577,10.730812,0.499691,-5.226621,-1.645541
124000,0.213084,-0.002394,10.848128,0.423356,-5.440361,-1.584472
128000,0.126893,0.000000,10.898406,0.377554,-5.302957,-1.370732
132000,0.189142,-0.071826,10.991780,0.423356,-4.814407,-1.126457
136000,0.275333,-0.064643,10.991780,0.621829,-3.883110,-0.958518
140000,0.368707,-0.079009,11.178528,0.942440,-3.348759,-1.034854
144000,0.301669,-0.093374,11.228806,1.492058,-3.119751,-1.416533
148000,0.320823,-0.045490,11.173739,1.889004,-3.837308,-1.691342
152000,0.174777,-0.110133,11.018116,2.240149,-3.852576,-1.752411
156000,0.002394,-0.088585,10.948685,2.484425,-3.928911,-1.813480
160000,-0.074220,-0.136469,10.805033,2.453890,-4.738071,-1.355464
164000,-0.090980,-0.067038,10.840945,2.240149,-5.058682,-1.019587
168000,-0.131681,-0.088585,10.706870,1.934806,-4.936545,-0.378365
172000,-0.081403,0.014365,10.721235,1.629462,-4.982347,0.201787
176000,-0.033519,-0.047884,10.596737,1.110379,-4.447995,0.766673
180000,0.011971,-0.009577,10.503363,0.530226,-3.974713,1.026215
184000,-0.016759,-0.002394,10.582372,0.194348,-3.791507,1.224688
188000,0.026336,0.000000,10.850522,0.011142,-3.928911,1.636902
192000,0.112527,0.098162,11.037270,0.484424,-3.776240,2.003314
196000,0.366313,0.055067,11.257536,0.911905,-3.226621,2.033848
200000,0.478840,0.016759,11.264719,1.950073,-2.524331,1.789574
204000,0.598550,0.026336,11.188105,2.560760,-1.944179,1.255223
208000,0.634463,-0.004788,11.192893,3.171447,-1.241889,0.446062
212000,0.507571,-0.007183,11.204864,3.247783,-1.364026,-0.011953
216000,0.184354,0.062249,11.166556,3.659997,-2.188453,-0.027220
220000,0.201113,-0.057461,11.216835,3.950073,-2.814408,0.079650
224000,0.301669,-0.038307,11.171345,4.224883,-2.783873,0.415528
228000,0.418985,-0.009577,11.135432,4.347020,-1.608301,0.323925
232000,0.450110,-0.023942,10.941502,4.285951,-1.318224,0.262856
236000,0.521936,-0.009577,10.994174,3.980608,-1.867843,-0.149358
240000,0.787692,-0.167594,10.970232,4.514959,-2.325858,-1.294396
244000,0.758962,0.026336,10.747571,2.774501,-0.234255,-2.790579
248000,0.055067,0.193930,11.269507,3.385188,-4.661736,-1.523403
252000,0.119710,-0.047884,11.403583,4.530226,-8.127385,-0.790579
256000,0.543484,-0.114922,11.247959,5.583661,-6.753339,-0.912716
260000,0.672771,-0.095768,11.085154,5.522593,-4.325858,-1.508136
264000,0.493206,-0.107739,11.161768,5.736333,-3.867843,-1.599739
268000,0.229843,-0.119710,11.267113,6.179081,-3.547232,-1.263861
272000,0.098162,-0.167594,11.070788,5.614195,-2.722805,-1.370732
276000,0.081403,-0.119710,11.111490,5.293585,-2.615934,-0.897449
280000,0.105345,-0.124498,11.061212,5.415722,-2.035782,-0.347831
284000,0.114922,-0.143652,10.872070,5.125646,-0.554866,-0.118823
288000,0.088585,-0.196325,10.836157,4.255417,0.773379,-0.042487
292000,0.098162,-0.131681,10.766725,3.690531,0.498570,0.278123
296000,0.088585,-0.071826,10.852917,2.759233,-0.356392,0.354459
300000,0.225055,-0.126893,10.819398,2.835569,-1.257156,0.446062
304000,0.160412,0.028730,10.860099,2.682898,-2.081583,0.690337
308000,0.220267,-0.033519,10.903194,2.957707,-2.768606,0.888810
312000,0.237026,-0.002394,10.972627,3.354653,-2.814408,1.117818
316000,0.210690,-0.045490,11.063606,4.194348,-2.707537,1.117818
320000,0.339977,-0.057461,10.998962,5.110379,-2.509064,1.087284
324000,0.433351,-0.052672,10.982203,5.537859,-2.157919,0.888810
328000,0.581791,-0.047884,10.874464,5.858470,-1.669369,0.323925
332000,0.569820,-0.079009,10.828975,5.705799,-1.654102,-0.302029
336000,0.521936,-0.047884,10.963050,5.736333,-2.875476,-0.836380
340000,0.553061,-0.086191,10.958261,5.919539,-3.791507,-1.218060
344000,0.567426,-0.208296,10.817003,6.056943,-3.654102,-1.721877
348000,0.464475,-0.256180,10.730812,5.659997,-3.394560,-2.271495
352000,0.421380,-0.227449,10.831368,5.843203,-2.753339,-2.592106
356000,0.284910,-0.143652,10.919954,5.766867,-2.615934,-2.454701
360000,0.239420,-0.268151,10.838552,5.889005,-2.402194,-2.637907
364000,0.421380,-0.256180,10.819398,5.766867,-1.989980,-3.111190
368000,0.280122,-0.294487,10.783484,5.385188,-1.455629,-3.309663
372000,0.007183,-0.251391,10.632649,4.866104,-1.318224,-3.126457
376000,-0.186748,-0.328006,10.623073,4.270684,-2.081583,-2.729510
380000,-0.205901,-0.275333,10.647015,3.522592,-3.165553,-1.859281
384000,-0.282516,-0.222661,10.589554,2.957707,-4.081583,-0.897449
388000,-0.349553,-0.222661,10.704475,2.499691,-4.524331,-0.042487
392000,-0.263362,-0.337582,10.718841,2.270684,-5.654102,0.781940
396000,-0.246603,-0.438139,10.826580,1.889004,-6.753339,1.591100
400000,-0.184354,-0.450110,10.941502,1.583661,-8.295323,2.323925
404000,-0.110133,-0.543484,11.104307,1.492058,-9.974713,2.415528
408000,-0.246603,-0.593762,11.259931,1.904272,-11.028149,3.056749
412000,-0.191536,-0.646434,11.504139,2.881371,-11.593034,3.621635
416000,0.033519,-0.723049,11.573571,3.782134,-10.844942,3.865910
420000,0.612916,-0.754174,11.686098,4.896638,-9.883110,3.239955
424000,1.034295,-0.857124,11.599907,5.400455,-8.249522,1.316291
428000,0.907402,-0.938527,11.647791,5.629463,-7.348759,-0.714243
432000,0.366313,-0.814029,11.623849,6.423356,-7.806774,-1.828747
436000,-0.040701,-0.866701,11.743559,7.140913,-9.440362,-1.538671
440000,-0.074220,-0.893037,11.650186,8.041677,-9.913645,-0.546304
444000,0.026336,-0.926556,11.602302,8.469157,-9.287690,0.110184
448000,0.052672,-0.979228,11.456255,8.759233,-8.493797,0.919345
452000,0.284910,-0.991199,11.386824,9.018776,-8.142652,1.316291
456000,0.433351,-0.926556,11.224017,8.698165,-7.745705,1.072016
460000,0.624887,-1.029507,11.286267,8.545493,-6.951812,0.644536
464000,0.756568,-1.158794,11.259931,7.797401,-6.005247,-0.011953
468000,0.754174,-1.280898,11.405977,7.659997,-4.906011,-0.622640
472000,0.849942,-1.352724,11.647791,7.950073,-4.173186,-1.569205
476000,0.790087,-1.407791,11.887212,8.423356,-3.913644,-2.683709
480000,0.646434,-1.546654,11.971008,9.156180,-3.898377,-3.660808
484000,0.418985,-1.628057,12.047623,10.347020,-2.997614,-4.134090
488000,0.138864,-1.757344,11.978191,11.079844,-2.234255,-4.164625
492000,-0.055067,-1.915361,12.011710,11.629462,-0.768606,-3.889816
496000,-0.098162,-2.001553,12.004527,11.965341,0.605440,-3.569205
500000,-0.134075,-2.123657,11.985373,12.514958,2.239028,-3.431800
504000,-0.229843,-2.202666,11.882423,12.621829,3.842081,-3.233327
508000,-0.270545,-2.176329,11.832145,12.667630,5.781013,-3.263861
512000,-0.316035,-2.279280,11.762712,13.308851,7.216127,-3.263861
516000,-0.507571,-2.372654,11.686098,13.980607,9.078722,-3.309663
520000,-0.696713,-2.372654,11.544841,14.621829,10.284829,-2.714243
524000,-0.845153,-2.327164,11.317391,15.034042,10.361164,-2.042487
528000,-1.065420,-2.214637,11.255142,15.461523,9.567271,-1.233327
532000,-1.240196,-2.138022,11.118672,15.690531,8.406966,-0.149358
536000,-1.211466,-1.934515,11.085154,16.240150,6.910783,1.056749
540000,-0.907402,-1.877054,10.986992,17.171448,6.864982,1.926978
544000,-0.069432,-2.363077,10.855310,18.774502,10.116890,0.507131
548000,-0.754174,-1.704672,10.500969,16.133280,12.513836,0.797207
552000,-0.363919,-1.881842,10.395624,16.789768,11.460402,0.140719
556000,-0.548272,-2.047042,10.062830,15.354653,10.834447,-0.729510
560000,-0.945710,-1.759738,10.065224,13.980607,8.590172,-0.760045
564000,-1.309628,-1.604115,10.448297,13.537859,3.994753,0.339192
568000,-1.276109,-1.496376,10.726024,13.766867,-0.157919,2.171253
572000,-1.304840,-1.592144,10.769119,13.980607,-2.035782,3.865910
576000,-1.302446,-1.558625,10.922348,14.270683,-3.699904,5.667437
580000,-1.089362,-1.484405,10.943896,14.576027,-7.791507,7.652170
584000,-0.921768,-1.544260,11.094730,14.652363,-10.829675,8.690337
588000,-0.945710,-1.587356,11.240777,14.682898,-13.593034,9.270490
592000,-0.708684,-1.584962,11.429919,15.217249,-16.646469,9.850642
596000,0.342371,-1.977611,11.020511,16.820303,-15.883110,8.659802
600000,0.287304,-1.697489,11.257536,16.194347,-14.112118,8.843008
604000,0.237026,-1.833959,11.030087,16.972975,-13.959446,7.575834
608000,-0.019154,-2.070984,10.838552,16.163815,-13.425095,6.843009
612000,-0.624887,-2.075773,10.843340,15.476790,-13.883110,6.812475
616000,-0.936133,-2.066196,11.094730,15.324119,-15.196087,7.865910
620000,-1.254562,-2.121263,11.516110,16.377554,-16.051048,10.064383
624000,-1.072602,-2.126051,11.650186,18.728699,-13.593034,11.804840
628000,-0.471658,-1.984793,11.587936,20.377556,-9.073950,13.087283
632000,-0.483629,-1.831564,11.441890,21.873737,-4.035782,12.491863
636000,-0.538695,-1.225831,11.099519,23.186716,-1.348759,13.911711
640000,-0.766145,-1.343147,11.274296,25.812670,-3.073950,16.018581
644000,-0.260968,-1.319205,10.376471,26.606562,-3.440362,16.919346
648000,-0.040701,-1.367089,10.144233,25.492058,-2.218988,16.812475
652000,0.105345,-1.225831,10.098742,24.179081,-2.829675,16.537666
656000,0.282516,-1.154005,10.352529,23.079845,-4.753339,16.155987
660000,0.383072,-0.960075,10.407595,22.392822,-5.562499,14.720871
664000,0.275333,-1.003170,10.376471,21.690533,-4.280056,13.117818
668000,0.122104,-0.890643,10.472239,21.629463,-2.677003,12.751406
672000,0.026336,-0.706290,10.450690,21.110380,0.544371,11.911711
676000,-0.069432,-0.632069,10.699687,22.026409,3.078722,12.033848
680000,-0.059855,-0.447716,10.654198,21.614197,5.338264,11.606367
684000,-0.241814,-0.416591,11.013328,23.476791,4.803913,11.591100
688000,-0.021548,-0.306458,10.716447,23.751600,3.170325,13.056749
692000,0.181959,-0.617704,10.594342,24.072212,0.971852,13.804840
696000,0.565032,-0.648829,10.077195,23.018776,-2.539598,13.697970
700000,0.562637,-0.656011,10.330980,20.240150,-8.005247,13.194154
704000,0.509965,-0.634463,10.802638,20.087479,-16.768606,12.751406
708000,0.636858,-0.636858,10.824186,20.194349,-24.096851,11.789574
712000,0.670376,-0.665588,11.113884,20.148548,-27.333492,10.705604
716000,0.639252,-0.615310,11.492168,21.293585,-26.906012,9.667436
720000,0.739808,-0.577003,11.544841,23.400455,-21.302958,8.583467
724000,-0.268151,-0.533907,11.923124,26.301220,-15.699904,9.697970
728000,-0.375890,-0.318429,10.986992,27.034044,-6.799140,10.110184
732000,0.768539,-0.859518,10.630256,29.232517,1.781012,11.743772
736000,-0.095768,0.509965,9.196129,27.385189,16.345898,10.125451
740000,-0.596156,0.069432,9.375694,22.194349,21.093988,9.468963
