time_us,ax,ay,az,gx,gy,gz
0,0.265756,0.584185,11.398794,0.942440,1.399333,0.690337
4000,0.452504,0.584185,11.444284,1.293585,0.315363,0.781940
8000,0.562637,0.605733,11.389217,1.156180,-0.753339,0.812474
12000,0.634463,0.658405,11.504139,1.659997,-2.035782,0.476597
16000,0.639252,0.648829,11.559206,2.469157,-3.028148,0.064383
20000,0.598550,0.715866,11.506534,2.896638,-3.089217,0.049116
24000,0.529119,0.636858,11.511322,3.553127,-3.241888,0.400261
28000,0.553061,0.689530,11.446678,4.072211,-2.967079,0.308658
32000,0.615310,0.677559,11.250354,4.713432,-2.799140,0.354459
36000,0.627281,0.663194,11.247959,4.621829,-2.738072,0.293391
40000,0.715866,0.600945,11.087548,4.820302,-2.707537,0.155986
44000,0.742203,0.620098,10.998962,4.224883,-3.119751,0.247589
48000,0.684742,0.636858,11.094730,4.331753,-3.883110,0.003314
52000,0.723049,0.679953,11.058818,4.453890,-4.066316,-0.088289
56000,0.677559,0.754174,11.161768,4.163814,-3.989980,-0.485235
60000,0.586579,0.677559,11.224017,4.148547,-4.051049,-0.363098
64000,0.476446,0.739808,11.274296,4.881371,-3.501430,-0.011953
68000,0.538695,0.651223,11.214440,5.034043,-2.722805,0.155986
72000,0.495600,0.837971,11.121067,5.263051,-1.913644,0.629268
76000,0.656011,0.651223,11.113884,5.736333,-1.272423,0.079650
80000,0.703895,0.787692,10.817003,5.537859,0.452768,0.171253
84000,0.533907,0.706290,10.668563,4.774501,1.322997,0.079650
88000,0.359130,0.718261,10.675745,4.072211,0.529104,0.720871
92000,0.380678,0.739808,10.752359,3.675264,-1.272423,1.224688
96000,0.509965,0.790087,10.723629,3.430989,-2.570133,1.774307
100000,0.701501,0.799663,10.833763,3.110379,-3.409827,1.820108
104000,0.871489,0.737414,10.852917,3.125646,-4.142652,1.438429
108000,0.988805,0.718261,11.006145,3.522592,-4.356392,1.133085
112000,0.981623,0.782904,11.013328,4.224883,-3.867843,0.507131
116000,1.007959,0.806846,11.037270,4.759233,-3.119751,0.186520
120000,0.972046,0.818817,10.963050,5.034043,-2.631201,-0.179892
124000,1.048660,0.840365,10.963050,5.079844,-2.249522,-0.317297
128000,1.242591,0.811634,10.876859,5.003509,-1.852576,-0.729510
132000,1.204283,0.818817,10.771513,4.438623,-1.730438,-1.447067
136000,1.182736,0.732626,10.771513,4.026409,-1.119751,-1.828747
140000,0.945710,0.792481,10.649409,3.293585,-1.104484,-2.363098
144000,0.919373,0.814029,10.737994,2.652363,-1.043415,-2.332564
148000,0.818817,0.811634,10.749966,2.148547,-1.486163,-2.088289
152000,0.830788,0.758962,10.836157,1.690531,-1.898377,-2.027220
156000,0.809240,0.691924,10.886436,1.324119,-2.844942,-2.118823
160000,0.835576,0.826000,11.001357,1.217249,-3.257156,-2.363098
164000,0.742203,0.778116,11.104307,1.568394,-3.241888,-2.378365
168000,0.665588,0.818817,11.066000,2.163814,-2.967079,-2.332564
172000,0.639252,0.826000,11.142614,2.805035,-1.669369,-1.996686
176000,0.636858,0.806846,10.946290,3.186715,-0.066316,-1.996686
180000,0.572214,0.790087,10.790668,3.186715,0.712310,-1.798213
184000,0.586579,0.732626,10.723629,2.805035,0.452768,-1.767678
188000,0.557849,0.780510,10.623073,2.545493,0.010020,-1.752411
192000,0.529119,0.883460,10.548853,1.766867,-1.089217,-1.523403
196000,0.483629,0.794875,10.726024,1.461524,-1.409827,-1.416533
200000,0.462081,0.737414,10.735600,1.369921,-1.699904,-0.989052
204000,0.421380,0.735020,10.711658,0.881371,-1.516698,-0.744777
208000,0.347159,0.713472,10.800244,0.545493,-1.211354,-0.317297
212000,0.433351,0.766145,10.898406,0.682898,-1.058682,0.049116
216000,0.407014,0.696713,11.003751,0.743966,-0.646469,0.293391
220000,0.454898,0.751779,11.224017,0.972974,-0.173186,0.461329
224000,0.586579,0.646434,11.128249,1.751600,0.498570,0.614001
228000,0.581791,0.579397,11.056423,1.858470,1.414600,0.537665
232000,0.464475,0.596156,10.996569,1.995875,2.086356,0.720871
236000,0.395043,0.553061,11.008539,1.827936,1.063455,0.995681
240000,0.526724,0.560243,10.943896,1.980608,-0.478530,1.407894
244000,0.830788,0.526724,10.860099,1.644730,-1.409827,1.178887
248000,0.995988,0.531513,10.948685,1.293585,-2.112118,0.491864
252000,1.053449,0.553061,11.137826,1.644730,-3.425095,0.003314
256000,1.113304,0.565032,11.235989,2.301218,-4.096850,-0.851648
260000,1.074997,0.598550,11.121067,3.018775,-4.066316,-1.416533
264000,0.948104,0.557849,10.919954,3.156180,-3.715171,-1.798213
268000,0.926556,0.502782,10.848128,3.369921,-3.593034,-1.981419
272000,0.873884,0.495600,10.754754,2.927173,-2.844942,-2.256228
276000,0.835576,0.438139,10.687716,2.102745,-2.799140,-2.240961
280000,0.744597,0.478840,10.721235,1.369921,-2.463263,-2.378365
284000,0.739808,0.366313,10.776301,0.774501,-1.638835,-2.240961
288000,0.713472,0.383072,10.939108,0.469157,-0.585400,-2.149358
292000,0.651223,0.330400,10.879252,0.118012,0.468035,-2.027220
296000,0.471658,0.172383,10.831368,-0.110996,1.674142,-1.584472
300000,0.418985,0.083797,10.817003,-0.492675,2.147424,-1.156991
304000,0.459687,0.028730,10.761936,-1.210232,2.635974,-1.111190
308000,0.478840,-0.052672,10.922348,-1.271301,2.681776,-0.836380
312000,0.423774,-0.086191,10.960655,-1.637713,2.437501,-0.989052
316000,0.450110,-0.055067,11.209652,-1.469774,2.529104,-0.973785
320000,0.608127,-0.162806,10.996569,-1.362904,2.987119,-0.561571
324000,0.629675,-0.368707,11.176133,-1.836186,4.162692,-1.477602
328000,0.354342,-0.306458,11.336545,-1.485041,3.719944,-1.340197
332000,0.069432,-0.251391,11.616667,-0.630080,1.170325,-0.363098
336000,0.239420,-0.440533,11.836933,0.362287,-1.654102,0.491864
340000,0.536301,-0.548272,11.853693,1.843203,-3.211354,0.384994
344000,0.768539,-0.577003,11.856087,2.469157,-3.898377,0.094917
348000,0.909797,-0.667982,11.858481,3.415722,-5.348759,-0.805846
352000,0.940921,-0.603339,11.851298,4.270684,-7.257155,-1.553938
356000,1.022324,-0.691924,11.647791,4.637096,-8.325858,-2.347831
360000,0.945710,-0.689530,11.374852,4.576027,-8.951813,-3.141724
364000,0.761356,-0.711078,11.111490,4.011142,-9.684637,-3.767678
368000,0.430956,-0.725443,11.063606,3.064577,-10.432729,-3.645541
372000,0.177171,-0.718261,11.082760,2.240149,-11.318225,-2.897449
376000,0.148441,-0.610521,11.173739,1.705798,-12.051049,-2.057755
380000,0.306458,-0.610521,11.145009,1.140913,-11.577766,-1.447067
384000,0.531513,-0.672771,11.061212,1.034043,-9.348759,-1.156991
388000,0.521936,-0.715866,10.821792,-0.004125,-6.600667,-1.004319
392000,0.541090,-0.723049,10.797850,-0.920156,-4.325858,-1.279129
396000,0.608127,-0.763750,10.807426,-1.454507,-3.654102,-1.187526
400000,0.691924,-0.675165,10.831368,-2.004125,-3.654102,-1.630274
404000,0.708684,-0.689530,10.953473,-2.385804,-3.806774,-1.828747
408000,0.536301,-0.727837,11.250354,-1.836186,-4.188453,-1.462335
412000,0.581791,-0.596156,11.358093,-1.683514,-4.738071,-0.851648
416000,0.694318,-0.553061,11.413159,-0.889621,-4.646469,0.064383
420000,0.986411,-0.581791,11.329363,-0.294202,-4.081583,0.400261
424000,1.237802,-0.577003,11.382035,-0.034660,-3.150285,0.125452
428000,1.462857,-0.608127,11.269507,0.179081,-1.944179,-0.469968
432000,1.640028,-0.739808,11.271901,0.148546,-1.318224,-1.416533
436000,1.683124,-0.766145,11.133038,0.087478,-0.249522,-2.393632
440000,1.460463,-0.936133,11.125855,-0.263667,0.177959,-3.004319
444000,1.194707,-0.979228,11.228806,-0.324736,0.177959,-3.019587
448000,0.940921,-1.051055,11.451467,-0.080461,-0.768606,-2.851648
452000,0.979228,-1.089362,11.712435,0.453890,-1.302957,-2.424167
456000,1.063026,-1.323994,11.769896,1.293585,-1.470896,-2.408900
460000,1.089362,-1.374272,11.666945,2.041676,-1.501431,-2.683709
464000,0.842759,-1.426944,11.669339,2.179081,-3.638835,-2.790579
468000,0.670376,-1.414973,11.662156,2.728699,-7.974713,-3.111190
472000,0.363919,-1.493982,11.722012,3.018775,-13.470897,-3.080655
476000,0.287304,-1.532289,11.733982,3.797401,-17.364027,-2.912716
480000,0.339977,-1.630451,11.554418,4.133279,-19.226622,-3.370732
484000,0.632069,-1.687912,11.815386,4.637096,-17.501431,-3.844014
488000,1.403002,-1.589750,12.445061,8.698165,-10.173186,-5.523403
492000,1.647211,-1.247379,12.399570,18.514959,7.750478,-10.118824
496000,0.134075,-1.364695,11.006145,12.530226,10.742844,-8.897449
500000,-0.562637,-1.556231,11.111490,14.056943,10.574905,-7.187525
504000,-0.464475,-1.216254,10.850522,12.133279,3.552005,-5.019587
508000,0.138864,-1.393425,11.097125,11.492058,0.926050,-5.218060
512000,0.476446,-1.431733,10.465055,11.278317,-0.615934,-4.653174
516000,0.797269,-1.434127,10.378864,9.553126,1.765745,-4.011953
520000,1.182736,-1.307234,10.982203,9.263050,6.468035,-3.401266
524000,1.285686,-1.228225,11.310209,10.087478,10.193226,-3.370732
528000,1.331176,-1.424550,11.027693,10.743966,11.002386,-3.706610
532000,1.352724,-1.434127,10.931925,9.751600,9.658875,-4.500503
536000,1.666364,-1.491588,11.154586,9.889005,7.185593,-5.523403
540000,1.879448,-1.498770,11.147403,10.637096,5.628341,-7.233327
544000,1.884237,-1.599327,11.224017,11.217249,6.254295,-8.851648
548000,1.709460,-1.680730,11.343728,11.934806,6.910783,-10.424167
552000,1.082179,-1.630451,10.608707,12.453890,4.284829,-11.050121
556000,1.137246,-1.766921,10.900801,10.560760,1.887883,-11.462335
560000,0.593762,-1.606509,10.891224,10.255417,0.529104,-12.347831
564000,-0.028730,-1.522712,10.749966,8.911905,-3.867843,-11.935617
568000,-0.416591,-1.419762,10.539276,8.362287,-9.028149,-10.164625
572000,-0.603339,-1.391031,10.302250,7.217249,-11.577766,-8.179892
576000,-0.586579,-1.290475,10.405201,6.301218,-10.799141,-6.744777
580000,-0.562637,-1.335965,10.263943,5.812669,-11.501431,-5.569205
584000,-0.689530,-1.338359,10.299856,4.850837,-12.860209,-4.347831
588000,-0.624887,-1.381454,10.273520,3.659997,-14.264790,-3.676075
592000,-0.766145,-1.300052,10.481815,2.560760,-15.089217,-2.744777
596000,-0.909797,-1.288081,10.572795,2.194348,-16.386927,-0.973785
600000,-0.821211,-1.302446,10.742783,1.995875,-17.043415,0.522398
604000,-0.584185,-1.264138,10.802638,1.583661,-15.852576,2.354459
608000,-0.196325,-1.261744,10.711658,1.324119,-13.150286,3.010948
612000,0.311246,-1.206678,10.771513,0.438623,-10.203721,2.781940
616000,0.639252,-1.027112,10.845734,-0.278934,-8.020514,1.530032
620000,0.837971,-0.785298,11.379641,0.224882,-6.173186,0.064383
624000,0.818817,-0.624887,11.283873,1.140913,-4.661736,-0.729510
628000,0.967257,-0.691924,11.255142,1.751600,-3.089217,-1.477602
632000,1.163582,-0.684742,11.003751,2.072211,-0.997614,-2.561571
636000,1.168370,-0.598550,10.941502,2.362287,0.101623,-3.721877
640000,0.924162,-0.555455,11.111490,2.026409,-1.822041,-4.882182
644000,0.766145,-0.428562,11.286267,2.377554,-6.371659,-5.172258
648000,0.754174,-0.308852,11.532869,3.156180,-10.051049,-5.126457
652000,1.043872,-0.368707,11.492168,4.606562,-12.417461,-5.599739
656000,1.084573,-0.359130,11.178528,4.484425,-15.501431,-5.935617
660000,0.986411,-0.306458,11.046846,4.102745,-19.455629,-6.469968
664000,0.861913,-0.208296,10.989386,3.354653,-23.486164,-7.050121
668000,0.658405,-0.201113,10.905589,2.606562,-27.715172,-8.073022
672000,0.435745,-0.217872,10.984597,1.782134,-29.028149,-8.943251
676000,0.294487,-0.191536,11.025299,0.789768,-27.562500,-8.500503
680000,0.294487,-0.167594,11.279084,0.942440,-23.241888,-8.332563
684000,0.153229,-0.122104,11.255142,0.163814,-18.325859,-7.798213
688000,-0.110133,-0.119710,11.135432,-0.935423,-13.318225,-7.218060
692000,-0.268151,0.107739,11.077971,-1.927789,-9.638836,-6.240961
696000,-0.332794,0.141258,11.054029,-3.164430,-6.005247,-5.431800
700000,-0.457293,0.126893,11.161768,-3.607178,-2.997614,-4.882182
704000,-0.557849,0.579397,11.310209,-5.332370,2.300096,-3.385999
708000,-0.311246,0.577003,11.674128,-2.904888,5.643608,-1.355464
712000,-0.203507,0.598550,11.164163,-2.920156,10.987119,-0.332564
716000,-0.141258,0.550666,10.907983,-2.767484,15.887882,0.598734
720000,-0.057461,0.624887,10.850522,-4.187331,16.727577,1.255223
724000,0.007183,0.758962,11.353305,-4.965958,13.597806,1.865910
728000,0.426168,0.876278,11.894394,-4.584278,7.552005,1.606368
732000,0.957681,1.079785,12.416330,-2.431606,1.765745,0.751406
736000,1.517924,1.185130,12.528857,1.247783,-3.028148,-0.744777
740000,2.015918,1.233014,12.196063,4.774501,-6.157919,-3.248594
744000,2.142811,1.321599,11.729194,6.789768,-8.799141,-6.408899
748000,1.742979,1.405396,10.996569,7.919539,-13.516698,-8.943251
752000,1.209072,1.388637,10.721235,7.858470,-22.539598,-10.607373
756000,0.651223,1.417367,10.742783,6.759233,-31.440363,-11.324930
760000,0.328006,1.460463,11.123461,5.721066,-36.936546,-11.019587
764000,0.330400,1.520318,11.362882,5.736333,-37.562500,-10.363098
768000,0.469264,1.465251,11.355699,5.201982,-30.875477,-9.324930
772000,0.507571,1.443704,11.224017,4.377554,-21.180820,-8.286762
776000,0.354342,1.515530,11.264719,3.583661,-11.959446,-7.233327
780000,0.356736,1.484405,11.018116,2.591295,-5.669369,-6.256227
784000,0.840365,1.565808,10.620679,1.079844,-0.142652,-6.576838
788000,1.326388,1.616086,10.232818,-0.798018,4.177959,-7.492869
792000,1.470040,1.745373,10.213664,-2.233133,7.552005,-9.324930
796000,1.280898,1.855506,9.825804,-3.607178,9.903150,-10.576838
800000,1.240196,2.032677,9.528923,-5.805653,10.605439,-11.309663
804000,1.204283,2.035071,9.325416,-8.553743,10.483302,-12.225694
808000,1.060631,2.173935,9.119514,-11.317102,9.719943,-12.989053
812000,0.957681,2.300828,9.234436,-13.759851,7.460402,-13.141725
816000,0.945710,2.303222,9.473856,-15.515576,6.071089,-13.599740
820000,0.849942,2.401384,9.481039,-16.752216,6.010020,-13.752412
824000,0.768539,2.128445,9.610326,-18.126263,6.361165,-13.508137
828000,0.644040,2.099715,10.199299,-20.004124,5.185593,-13.416533
832000,0.881066,2.394202,11.192893,-19.698780,2.605440,-13.477602
836000,1.414973,2.442086,12.006922,-16.630079,1.613073,-14.637908
840000,2.018312,2.418144,12.059594,-13.118629,3.735211,-16.393633
844000,2.245761,2.327164,11.683704,-10.782751,6.712310,-18.363098
848000,2.442086,2.238579,11.640609,-9.362904,7.490936,-21.019587
852000,2.432509,2.377442,11.671733,-8.523210,5.643608,-23.431799
856000,2.341529,2.552219,11.868058,-6.278934,-1.440362,-26.485235
860000,2.178724,2.473210,11.281479,-5.027026,-8.081583,-28.851646
864000,2.166753,2.494758,10.977415,-5.179698,-12.096850,-30.424166
868000,2.104503,2.552219,10.776301,-6.065194,-12.967080,-32.149357
872000,1.671153,2.693477,10.558430,-6.935423,-10.951813,-33.385998
876000,1.103727,2.873042,10.402806,-7.897255,-9.119752,-33.111191
880000,0.715866,2.956839,9.991004,-9.256034,-8.142652,-31.569204
884000,0.560243,2.832341,8.999804,-12.614812,-5.257155,-29.553938
888000,0.821211,2.978387,9.117120,-17.210232,-1.562499,-27.767677
892000,0.854730,3.122039,9.521740,-18.721682,3.002386,-26.469967
896000,1.187524,3.107674,9.696517,-20.721682,5.628341,-25.019587
900000,1.544260,2.916138,10.046070,-21.133896,9.613073,-24.164623
904000,1.795651,2.861071,10.206482,-21.240767,12.712310,-24.134090
908000,2.238579,2.786851,10.532093,-21.133896,14.819180,-24.989052
912000,2.715025,2.758120,11.039664,-19.622444,15.399332,-27.294395
916000,3.088520,2.827552,10.967838,-18.492674,16.284828,-30.469967
920000,2.770091,2.873042,11.173739,-16.095728,13.231394,-32.424168
924000,2.669535,2.662352,10.967838,-14.584277,9.613073,-34.729511
928000,2.269703,2.384625,10.656591,-13.927789,7.552005,-36.042488
932000,1.663970,2.509123,10.321404,-15.301835,2.926050,-37.416534
936000,0.928950,2.408567,10.340557,-18.110994,-2.906011,-37.172256
940000,0.545878,2.358289,11.013328,-18.828552,-9.196087,-36.271496
944000,0.562637,2.398990,11.434708,-18.553743,-13.486164,-34.989052
948000,0.627281,2.348712,11.461043,-18.278934,-13.394561,-33.920349
952000,0.703895,2.303222,11.520899,-17.775116,-10.478530,-32.424168
956000,0.859518,2.322376,11.508927,-15.652980,-5.715171,-31.523403
960000,0.694318,2.221819,11.350910,-15.561378,-0.218988,-31.111189
964000,0.442927,2.207454,11.401189,-14.736949,2.483302,-30.927982
968000,0.316035,2.322376,11.441890,-13.515576,2.742844,-30.424166
972000,0.256180,2.398990,11.422736,-12.752217,3.460402,-29.630274
976000,0.136469,2.193089,11.219229,-11.790385,4.177959,-28.302029
980000,0.294487,2.171541,10.790668,-11.072827,3.811547,-26.515770
984000,0.538695,2.197877,10.759542,-12.110995,3.735211,-25.645540
