time_us,ax,ay,az,gx,gy,gz
0,-0.198719,0.172383,10.649409,4.362287,-2.081583,-1.508136
4000,-0.256180,0.126893,10.670957,3.995875,-2.402194,-1.966151
8000,-0.380678,0.155623,10.443508,3.339386,-1.470896,-1.874548
12000,-0.459687,0.052672,10.565612,2.576027,-0.035782,-1.355464
16000,-0.488417,0.086191,10.690110,2.209615,0.468035,-0.790579
20000,-0.404620,0.134075,11.001357,1.721066,-0.280056,0.003314
24000,-0.129287,0.196325,11.073183,1.568394,-1.455629,0.094917
28000,-0.083797,0.165200,11.063606,1.263050,-1.852576,-0.317297
32000,-0.124498,0.112527,11.097125,0.957707,-2.325858,-0.790579
36000,-0.203507,0.026336,11.228806,1.324119,-3.562499,-0.882182
40000,-0.280122,0.086191,11.176133,1.751600,-4.814407,-1.050121
44000,-0.220267,0.043096,10.970232,2.453890,-5.608301,-0.897449
48000,-0.323217,0.026336,11.125855,2.728699,-5.944179,-0.943251
52000,-0.265756,0.100556,10.972627,3.217249,-6.005247,-0.485235
56000,-0.155623,0.155623,10.817003,3.095111,-5.379293,-0.439434
60000,-0.148441,0.167594,10.752359,2.850837,-4.371659,-0.561571
64000,-0.177171,0.181959,10.690110,2.179081,-3.440362,-0.195159
68000,-0.244209,0.220267,10.642226,1.415722,-2.692270,-0.164625
72000,-0.284910,0.198719,10.711658,1.034043,-2.264789,0.155986
76000,-0.260968,0.174777,10.678140,0.774501,-2.814408,0.354459
80000,-0.155623,0.213084,10.742783,0.591295,-3.241888,0.155986
84000,-0.136469,0.136469,10.630256,0.591295,-3.379293,0.003314
88000,-0.081403,0.102951,10.568007,0.163814,-2.829675,-0.408900
92000,-0.155623,0.160412,10.711658,-0.416339,-2.509064,-0.622640
96000,-0.222661,0.126893,10.855310,-0.645346,-2.432728,-0.592106
100000,-0.385466,0.203507,10.893618,-0.599545,-3.073950,-0.592106
104000,-0.407014,0.090980,10.881647,-0.538476,-3.608301,-0.454701
108000,-0.440533,0.117316,10.919954,-0.691148,-4.295324,0.232322
112000,-0.488417,0.146046,10.927136,-0.859087,-4.417461,1.163620
116000,-0.306458,0.181959,10.864887,-1.088094,-5.028148,1.728505
120000,-0.284910,0.122104,10.979809,-1.393438,-5.531965,2.079650
124000,-0.244209,0.292093,10.948685,-1.301835,-6.112117,2.217055
128000,-0.160412,0.284910,10.881647,-1.088094,-6.325858,2.629268
132000,-0.153229,0.296881,10.864887,-0.736950,-6.585400,3.010948
136000,0.019154,0.277727,10.721235,-0.477408,-6.112117,3.224688
140000,0.067038,0.220267,10.639832,-0.675881,-5.760972,3.148352
144000,0.196325,0.289698,10.515334,-1.057560,-5.791507,3.148352
148000,0.256180,0.260968,10.524911,-1.668247,-5.654102,2.522398
152000,0.174777,0.256180,10.529699,-2.446873,-6.112117,1.804841
156000,0.186748,0.256180,10.761936,-2.996492,-6.142652,1.117818
160000,0.069432,0.260968,10.800244,-2.981224,-5.974713,0.980413
164000,0.143652,0.225055,10.793061,-2.553744,-4.402194,1.163620
168000,-0.100556,0.296881,11.092337,-2.645346,-6.112117,0.949879
172000,0.019154,0.189142,11.377247,-0.996492,-6.432728,1.392627
176000,-0.028730,0.292093,11.075577,-0.431606,-6.631201,1.575833
180000,0.062249,0.277727,11.025299,-0.263667,-6.234255,1.453696
184000,0.100556,0.248997,11.013328,0.453890,-5.318224,1.285757
188000,0.033519,0.296881,10.893618,1.186714,-4.783873,1.072016
192000,0.098162,0.344765,10.838552,0.698165,-4.264789,1.178887
196000,0.174777,0.371101,10.644621,0.514959,-3.516698,1.316291
200000,0.160412,0.416591,10.651803,0.072211,-3.318224,1.163620
204000,0.093374,0.447716,10.675745,-0.645346,-2.906011,1.133085
208000,0.270545,0.442927,10.608707,-1.301835,-2.936545,1.026215
212000,0.392649,0.447716,10.596737,-2.126262,-2.356392,0.858276
216000,0.375890,0.541090,10.603919,-2.798018,-2.051049,-0.011953
220000,0.299275,0.550666,10.721235,-3.469774,-2.371660,-0.531037
224000,0.205901,0.550666,10.723629,-3.836186,-2.463263,-1.111190
228000,0.265756,0.679953,10.838552,-3.744583,-2.493797,-1.523403
232000,0.251391,0.651223,10.912771,-3.866720,-2.157919,-1.981419
236000,0.205901,0.660800,10.817003,-3.836186,-1.699904,-2.469968
240000,0.038307,0.663194,10.860099,-3.637713,-0.860209,-2.607373
244000,0.035913,0.572214,11.001357,-3.805652,-0.860209,-2.790579
248000,-0.076614,0.706290,11.101913,-4.263667,-0.707537,-3.019587
252000,-0.177171,0.672771,11.238382,-4.462141,-0.493797,-2.698976
256000,-0.215478,0.694318,11.370064,-4.416339,-0.035782,-2.592106
260000,-0.395043,0.735020,11.511322,-4.401072,-0.234255,-2.225693
264000,-0.471658,0.780510,11.753136,-3.988858,-0.799140,-1.050121
268000,-0.442927,0.763750,11.827356,-3.530843,-1.806774,-0.454701
272000,-0.172383,0.778116,11.949461,-2.706415,-2.249522,-0.011953
276000,-0.028730,0.895431,11.968615,-2.370538,-2.035782,-0.103556
280000,0.007183,0.972046,12.059594,-1.775118,-2.005247,-0.607373
284000,-0.117316,1.051055,12.186486,-1.332370,-2.783873,-1.248594
288000,-0.354342,1.086968,12.200851,-0.202598,-4.478529,-1.004319
292000,-0.469264,1.201889,12.193669,0.453890,-5.333491,-0.607373
296000,-0.284910,1.266533,12.129025,1.522592,-5.623568,-0.042487
300000,-0.177171,1.359907,12.160151,2.392821,-4.997613,0.537665
304000,-0.023942,1.443704,12.126632,3.369921,-3.699904,0.873543
308000,0.021548,1.474828,12.100295,4.056943,-2.417461,0.812474
312000,0.210690,1.496376,12.014104,4.759233,-0.463263,0.598734
316000,0.416591,1.503559,11.863270,4.606562,1.414600,0.186520
320000,0.486023,1.458069,11.786655,4.591295,3.124524,-0.683709
324000,0.670376,1.496376,11.817780,4.224883,5.093989,-1.752411
328000,0.541090,1.493982,12.083536,3.980608,5.719944,-3.004319
332000,0.407014,1.520318,12.380417,4.179081,5.063455,-3.889816
336000,0.304064,1.651999,12.794614,4.591295,3.170325,-4.592105
340000,0.229843,1.699883,12.868834,5.873737,0.926050,-5.355464
344000,0.275333,1.774103,13.017275,7.354653,-0.692270,-5.767678
348000,0.229843,1.881842,13.101071,9.324119,-1.760972,-6.271495
352000,0.189142,1.953669,13.081918,11.339386,-2.844942,-6.515769
356000,0.076614,2.051831,12.914324,13.430989,-4.402194,-6.714243
360000,-0.055067,2.116474,12.672509,15.278317,-6.127385,-6.653174
364000,-0.050278,2.293645,12.346898,16.270683,-7.043415,-7.050121
368000,-0.047884,2.425326,12.102690,17.324120,-7.699903,-7.095922
372000,0.079009,2.492364,11.724405,18.118013,-8.432729,-7.355464
376000,0.047884,2.571373,11.338940,18.209616,-9.104485,-7.538671
380000,0.069432,2.712631,11.077971,17.751600,-9.638836,-7.889815
384000,-0.035913,2.827552,10.718841,16.576027,-11.104485,-8.393633
388000,-0.198719,2.935291,10.527305,15.339386,-13.822042,-8.790579
392000,-0.430956,3.023877,10.235212,14.194347,-16.677004,-8.805846
396000,-0.550666,2.968810,9.892841,12.805035,-17.623568,-8.698977
400000,-0.572214,2.959233,9.598354,11.034042,-15.715171,-8.943251
404000,-0.754174,2.983175,9.665392,9.110378,-11.699904,-8.408899
408000,-1.280898,3.057395,9.830592,7.553127,-7.760972,-7.401266
412000,-1.898602,3.179500,10.192117,6.728699,-3.959446,-5.126457
416000,-2.094927,3.201048,10.342952,6.652363,-0.264789,-1.615006
420000,-1.711854,3.222595,10.438720,6.698165,4.635974,2.278123
424000,-1.319205,3.205836,10.699687,6.957707,11.445134,5.774307
428000,-0.773327,3.337517,11.202470,7.934806,18.239027,8.293390
432000,-0.411803,3.409343,11.688493,9.095112,21.368797,9.926978
436000,-0.021548,3.332729,12.124237,11.217249,21.292461,10.247588
440000,0.397437,3.203442,12.380417,13.507325,20.177958,9.728504
444000,0.699107,3.129222,12.480973,15.659997,19.567272,8.751406
448000,1.086968,2.911349,12.457031,18.224882,19.017653,7.178887
452000,1.201889,2.710236,12.533646,20.453890,17.170324,5.636902
456000,1.041478,2.619257,12.729970,22.698166,12.620707,4.354459
460000,0.876278,2.525883,12.804191,25.095112,6.819180,3.820108
464000,0.849942,2.494758,12.706028,26.789768,1.811547,3.331558
468000,0.933739,2.501941,12.571953,28.606562,-0.997614,2.552932
472000,1.029507,2.379837,12.277467,31.003510,-0.356392,1.850642
476000,0.912191,2.355895,11.841722,33.110378,3.032921,1.743772
480000,0.687136,2.171541,11.329363,34.911903,6.773379,2.476597
484000,0.632069,2.087744,10.929531,36.072212,10.055821,3.407894
488000,0.840365,2.123657,10.316615,36.682899,11.704676,4.018581
492000,1.249773,2.145205,9.861717,35.705799,12.635974,4.125452
496000,1.630451,2.171541,9.327810,33.308853,12.635974,2.675070
500000,1.862689,2.267309,8.906430,30.087479,11.674142,0.812474
504000,1.898602,2.317587,8.511387,26.240150,8.483302,-1.584472
508000,1.577779,2.138022,8.286332,22.041677,4.086356,-3.111190
512000,1.635240,2.631228,8.068460,16.866104,-2.951812,-4.760045
516000,1.647211,2.772485,8.034941,11.904272,-8.997614,-8.515770
520000,1.388637,2.750938,7.872135,7.171447,-13.867843,-11.767678
524000,1.072602,2.662352,7.656657,2.545493,-16.509064,-14.637908
528000,0.608127,2.619257,7.563283,-1.622446,-19.837309,-16.240961
532000,-0.028730,2.518700,7.606379,-5.042294,-22.417461,-17.508135
536000,-0.945710,2.348712,7.453150,-9.332370,-24.234255,-17.355463
540000,-1.869871,2.111686,7.074866,-14.233132,-21.883110,-16.347830
544000,-2.650381,1.877054,6.988675,-19.576643,-10.615934,-13.080656
548000,-3.007117,1.754950,7.467515,-23.988857,8.254294,-7.721877
552000,-3.251326,1.661576,8.585608,-26.828552,28.773378,-0.363098
556000,-3.126827,1.515530,10.048465,-26.507942,47.506203,7.652170
560000,-2.633622,1.479617,11.836933,-24.645346,60.803913,15.423162
564000,-1.649605,1.316811,13.323732,-20.233131,68.406967,20.400261
568000,-0.792481,1.283292,14.420277,-14.553744,69.689415,23.514765
572000,0.016759,1.228225,15.310920,-7.378171,64.758118,24.094917
576000,0.598550,1.199495,15.739482,1.782134,52.971851,22.827742
580000,1.022324,1.146823,15.370775,10.942440,36.422234,20.049116
584000,1.673547,1.027112,14.207192,18.179081,19.139790,16.140718
588000,2.236184,1.070208,12.737153,22.179081,3.048188,10.247588
