time_us,ax,ay,az,gx,gy,gz
0,-0.028730,1.558625,8.257602,-10.233133,-11.348759,-1.767678
4000,-0.196325,1.778892,8.997410,-15.362905,-14.325858,-0.561571
8000,0.007183,2.001553,9.892841,-18.370537,-15.974713,0.476597
12000,0.203507,2.027889,10.572795,-19.088095,-14.157920,1.102551
16000,0.306458,2.092532,11.082760,-17.332369,-8.860209,2.629268
20000,0.323217,2.013524,11.473015,-13.301835,-0.463263,4.247589
24000,0.639252,1.769315,11.777079,-7.011759,10.834447,5.438429
28000,0.751779,1.855506,11.942278,-1.714049,21.338264,6.064383
32000,1.118092,1.968034,12.119449,4.423356,31.353531,5.682703
36000,1.230620,1.941698,12.136209,9.797401,40.223759,4.278123
40000,1.235408,1.910573,12.021287,14.972974,47.185593,3.530032
44000,1.091756,1.886631,11.836933,18.591295,51.353531,2.552932
48000,0.979228,1.920150,11.528081,21.003510,53.552006,2.690337
52000,0.849942,1.944092,11.209652,22.698166,53.216125,2.827742
56000,1.237802,1.908179,10.603919,22.087479,53.628342,2.262856
60000,1.304840,2.051831,10.316615,20.072212,51.506203,0.400261
64000,1.110910,2.001553,10.378864,18.805035,46.697041,-1.416533
68000,0.897826,2.035071,9.832987,15.247783,40.788647,-2.424167
72000,0.799663,2.039860,9.488221,11.232516,35.842079,-3.294396
76000,0.588974,2.075773,9.588778,7.278317,31.124523,-4.118823
80000,0.459687,2.133234,9.785102,3.873737,24.987120,-4.500503
84000,-0.011971,2.209848,10.089166,0.820302,17.582539,-4.225693
88000,-0.237026,2.355895,10.017340,-2.920156,9.765745,-3.156991
92000,-0.459687,2.312799,10.225636,-6.889622,2.483302,-1.523403
96000,-0.457293,2.324770,10.357317,-10.065194,-4.478529,0.064383
100000,-0.337582,2.202666,10.469844,-12.019393,-9.394561,1.041482
104000,-0.239420,2.236184,10.304645,-14.340003,-10.615934,1.285757
108000,-0.387861,1.927332,10.460267,-16.309467,-10.661736,1.087284
112000,-0.634463,2.063802,10.917560,-15.759851,-9.745706,2.934612
116000,-0.153229,2.401384,10.745177,-16.584276,-5.898377,3.377360
120000,-0.126893,2.114080,11.185710,-16.340002,-0.783873,3.850643
124000,-0.222661,1.802834,12.002133,-13.164432,1.200860,6.018581
128000,0.268151,1.912967,11.884817,-10.813286,2.055821,7.041482
132000,0.723049,2.042254,11.480197,-9.103362,4.712310,6.705605
136000,0.873884,1.960851,11.176133,-7.897255,7.414600,6.217055
140000,1.007959,1.709460,10.994174,-8.614813,6.727577,4.537665
144000,1.386243,1.582567,10.960655,-9.515575,6.300097,2.904078
148000,1.692701,1.553837,10.876859,-9.958323,6.406967,-0.439434
152000,1.699883,1.400608,10.898406,-10.340003,6.574905,-3.935617
156000,1.280898,1.295263,11.183316,-10.675881,2.559638,-6.454701
160000,0.823605,1.367089,10.998962,-12.507943,-0.661736,-8.057755
164000,0.543484,1.429338,11.429919,-14.477408,-5.104484,-9.324930
168000,-0.205901,1.592144,12.059594,-15.820920,-10.203721,-9.630274
172000,-1.022324,1.721431,12.521675,-16.569010,-17.699903,-7.462335
176000,-1.142034,1.656788,12.974179,-15.775117,-23.516699,-3.553938
