time_us,ax,ay,az,gx,gy,gz
0,-0.196325,-0.117316,11.326968,1.278317,-2.447995,1.453696
4000,-0.239420,-0.126893,11.367670,1.721066,-3.547232,1.499497
8000,-0.169988,-0.110133,11.324574,1.690531,-4.341125,1.743772
12000,-0.136469,-0.124498,11.082760,1.629462,-4.783873,2.171253
16000,-0.148441,-0.100556,11.152191,1.736333,-4.875476,2.400261
20000,-0.083797,-0.026336,11.257536,2.056943,-4.875476,2.491864
24000,-0.009577,-0.069432,11.140221,2.087478,-5.531965,2.339192
28000,0.076614,-0.205901,11.135432,2.484425,-5.348759,2.171253
32000,0.100556,-0.143652,11.073183,2.224883,-5.440361,2.003314
36000,0.043096,-0.071826,11.037270,2.041676,-6.005247,1.850642
40000,-0.059855,-0.081403,11.042058,1.751600,-5.791507,1.453696
44000,-0.172383,-0.067038,11.109096,1.721066,-5.928911,1.682703
48000,-0.232238,-0.095768,11.133038,1.843203,-6.280056,1.820108
52000,-0.220267,-0.129287,11.013328,2.056943,-6.325858,1.942245
56000,-0.301669,-0.045490,10.963050,1.965340,-6.218987,2.629268
60000,-0.162806,-0.019154,10.951078,1.950073,-5.348759,2.812474
64000,-0.184354,-0.067038,11.130644,2.026409,-5.150285,2.720871
68000,-0.174777,-0.033519,11.068395,2.591295,-5.501431,2.812474
72000,-0.208296,-0.026336,11.020511,2.774501,-5.654102,2.965146
76000,-0.138864,-0.040701,10.905589,2.484425,-5.379293,3.056749
80000,-0.100556,-0.057461,10.879252,2.606562,-4.539598,2.888810
84000,-0.186748,-0.028730,10.888829,2.530226,-4.081583,2.949879
88000,-0.217872,-0.079009,10.929531,2.240149,-4.341125,3.209421
92000,-0.172383,-0.079009,10.948685,2.362287,-4.386927,3.178887
96000,-0.110133,-0.074220,10.977415,2.118012,-5.043415,3.255223
100000,-0.203507,-0.105345,10.936713,2.423356,-5.318224,3.270490
104000,-0.284910,-0.071826,11.006145,2.469157,-6.096850,3.438429
108000,-0.296881,-0.004788,10.881647,2.576027,-5.867843,3.820108
112000,-0.232238,-0.086191,10.754754,2.224883,-5.241889,4.491864
116000,-0.031125,-0.095768,10.656591,2.102745,-3.822041,4.614001
120000,-0.081403,-0.004788,10.690110,1.889004,-3.028148,4.537665
124000,0.004788,-0.079009,10.635044,1.339386,-3.318224,4.507131
128000,-0.014365,-0.081403,10.728417,0.530226,-4.264789,4.415528
132000,0.088585,-0.076614,10.745177,0.056943,-5.043415,4.201787
136000,0.079009,-0.057461,10.840945,-0.110996,-5.318224,3.881177
140000,0.007183,-0.095768,10.881647,0.026409,-5.593033,3.942245
144000,0.069432,-0.129287,10.989386,0.438623,-5.547232,3.926979
148000,0.146046,-0.150835,11.013328,1.064577,-3.989980,4.033849
152000,0.167594,-0.107739,11.044453,1.598928,-2.738072,3.911711
