time_us,ax,ay,az,gx,gy,gz
0,-0.059855,0.452504,10.903194,-0.004125,-1.180820,-0.897449
4000,-0.193930,0.495600,11.097125,0.179081,-2.371660,-0.561571
8000,-0.344765,0.404620,11.145009,0.911905,-4.509064,-0.057755
12000,-0.227449,0.342371,11.171345,1.369921,-6.707537,0.583467
16000,0.045490,0.253785,10.994174,1.339386,-7.150285,1.178887
20000,0.232238,0.335188,11.022904,1.476791,-6.829675,0.675070
24000,0.227449,0.316035,10.986992,1.156180,-5.806774,0.155986
28000,0.129287,0.339977,10.982203,0.805035,-5.196087,-0.408900
32000,0.000000,0.301669,11.099519,0.667630,-5.089217,-0.821113
36000,-0.098162,0.378284,11.030087,0.606562,-5.073949,-0.821113
40000,-0.150835,0.349553,11.046846,0.637096,-5.104484,-0.882182
44000,-0.277727,0.330400,11.087548,0.881371,-4.967079,-0.500503
48000,-0.227449,0.332794,11.128249,1.003508,-4.249522,-0.164625
52000,-0.232238,0.304064,11.197681,1.034043,-4.081583,0.659803
56000,-0.217872,0.330400,11.168951,1.583661,-3.180820,0.705604
60000,-0.227449,0.409408,11.077971,1.873737,-3.135018,1.056749
64000,-0.201113,0.442927,11.054029,1.873737,-3.028148,1.423162
68000,-0.059855,0.462081,10.994174,2.209615,-2.325858,1.713238
72000,0.079009,0.411803,10.893618,1.980608,-1.409827,1.789574
76000,0.095768,0.428562,10.864887,1.766867,0.269562,1.881177
80000,0.244209,0.438139,10.752359,1.522592,1.979486,1.667436
84000,0.220267,0.399832,10.840945,1.430989,3.185592,1.331558
88000,0.215478,0.380678,10.994174,0.728699,3.048188,1.377360
92000,0.191536,0.466869,11.020511,0.576027,2.483302,0.888810
96000,0.198719,0.447716,11.046846,0.377554,1.048188,0.507131
100000,0.136469,0.428562,11.104307,0.423356,-0.035782,0.217055
104000,0.100556,0.409408,11.147403,0.179081,-0.112117,0.033849
108000,-0.038307,0.454898,11.142614,0.408088,-0.386927,0.003314
112000,-0.284910,0.452504,11.226412,0.576027,-0.890743,0.186520
116000,-0.392649,0.557849,11.394006,0.850837,-2.844942,0.873543
120000,-0.416591,0.459687,11.386824,1.705798,-4.677003,1.728505
124000,-0.301669,0.514753,11.336545,2.362287,-6.066316,2.384994
128000,-0.162806,0.454898,11.264719,3.079844,-6.173186,2.751406
132000,-0.105345,0.488417,11.142614,3.263050,-4.707537,3.041482
136000,-0.023942,0.430956,11.087548,3.659997,-3.593034,3.407894
140000,-0.079009,0.462081,11.168951,4.041677,-3.211354,3.560566
144000,-0.081403,0.509965,11.180922,4.011142,-4.585400,3.789574
148000,0.057461,0.474052,11.269507,4.347020,-5.867843,3.667437
152000,0.129287,0.418985,11.161768,4.438623,-6.951812,3.423162
156000,0.181959,0.459687,11.025299,4.423356,-7.196087,3.056749
160000,0.268151,0.445322,11.106702,4.652363,-7.241889,2.629268
164000,0.306458,0.414197,11.022904,4.942440,-6.600667,2.232322
168000,0.292093,0.423774,10.970232,5.232516,-5.928911,1.926978
172000,0.265756,0.383072,10.884041,5.293585,-4.783873,2.110184
176000,0.361524,0.416591,10.896012,5.125646,-4.356392,1.835375
180000,0.478840,0.497994,10.833763,4.942440,-3.272423,1.514765
184000,0.526724,0.486023,10.793061,4.530226,-1.974713,0.781940
188000,0.495600,0.404620,10.855310,3.919539,-0.447995,0.171253
192000,0.349553,0.442927,10.864887,3.537859,0.697043,-0.271495
196000,0.260968,0.476446,10.900801,3.247783,1.307730,-0.760045
200000,0.143652,0.454898,10.917560,3.369921,1.719944,-0.698976
204000,0.067038,0.418985,10.963050,3.232516,2.116890,-0.622640
208000,0.138864,0.445322,10.939108,3.476791,2.956585,-0.653174
212000,0.177171,0.440533,11.008539,3.858470,3.338264,-0.775312
216000,0.124498,0.514753,11.046846,3.644730,4.208493,-0.775312
220000,0.023942,0.459687,11.042058,3.766867,4.849715,-0.500503
224000,0.160412,0.486023,10.876859,3.843203,5.124524,-0.378365
228000,0.148441,0.471658,10.826580,3.782134,5.368799,-0.393632
232000,0.167594,0.500388,10.862494,3.385188,5.002387,-0.637907
236000,0.112527,0.572214,10.795456,2.835569,3.750478,-0.989052
240000,0.100556,0.507571,10.917560,2.576027,1.903150,-1.294396
244000,0.045490,0.471658,10.881647,2.163814,0.147424,-1.401266
248000,0.114922,0.373495,10.919954,2.209615,-0.646469,-1.355464
252000,0.169988,0.509965,10.845734,2.087478,0.284829,-1.462335
256000,0.217872,0.490811,10.884041,2.255417,1.781012,-1.645541
260000,0.196325,0.526724,10.915166,2.560760,3.582539,-1.782945
264000,0.009577,0.524330,11.008539,3.079844,4.666509,-1.859281
268000,-0.191536,0.486023,11.037270,3.201982,4.422234,-1.599739
272000,-0.304064,0.562637,11.106702,3.553127,2.574905,-1.080655
276000,-0.287304,0.521936,11.101913,3.614195,0.727577,-0.469968
280000,-0.244209,0.577003,11.183316,3.965340,-0.692270,-0.256228
