time_us,ax,ay,az,gx,gy,gz
0,2.224213,0.991199,10.299856,-1.164430,-8.493797,-2.561571
4000,2.205060,1.051055,10.366894,-1.393438,-8.020514,-1.889816
8000,2.157176,1.051055,10.352529,-1.637713,-7.867843,-1.233327
12000,2.181118,1.041478,10.383653,-2.095728,-7.241889,-0.698976
16000,2.188300,0.960075,10.433931,-1.943056,-5.822041,0.033849
20000,2.152387,0.991199,10.505757,-1.881988,-4.402194,1.239955
24000,2.147599,0.955287,10.635044,-1.164430,-2.844942,2.232322
28000,2.138022,0.936133,10.817003,-0.416339,-1.974713,3.438429
32000,2.245761,0.967257,10.867282,0.469157,-1.425095,4.659803
36000,2.489970,0.893037,10.975020,0.972974,-1.730438,5.316291
40000,2.808398,0.770933,10.994174,2.041676,-2.127385,4.629269
44000,2.896984,0.778116,10.654198,1.934806,-1.012881,3.926979
48000,2.671929,0.689530,10.742783,2.148547,0.162692,3.865910
52000,2.628834,0.648829,10.812215,2.560760,-0.173186,4.293391
56000,2.791639,0.701501,10.776301,3.079844,0.162692,4.278123
60000,2.968810,0.603339,10.790668,3.430989,0.987119,4.155986
64000,3.052607,0.608127,10.821792,3.507325,1.948951,3.560566
68000,2.973598,0.670376,10.819398,3.568394,1.429867,3.239955
72000,2.942474,0.720655,10.747571,3.293585,0.880249,2.873543
76000,2.940080,0.761356,10.661380,2.988241,0.193226,2.415528
80000,3.002329,0.667982,10.711658,3.278317,0.086356,2.232322
84000,3.040636,0.675165,10.730812,3.400455,-0.173186,1.820108
88000,3.081338,0.720655,10.536881,2.988241,0.055821,1.392627
92000,3.019088,0.778116,10.488997,2.240149,0.147424,0.843009
96000,2.968810,0.761356,10.474632,1.736333,-0.310591,0.415528
100000,2.913743,0.802058,10.560823,1.232516,-1.196087,0.018581
104000,2.925714,0.758962,10.527305,0.698165,-1.196087,0.064383
108000,3.028665,0.735020,10.603919,0.835569,-0.234255,-0.256228
112000,3.035848,0.735020,10.714052,1.507325,1.506203,-0.225693
116000,3.059790,0.749385,10.735600,2.392821,3.567272,-0.515770
120000,2.995146,0.744597,10.809821,3.308852,5.155058,-0.469968
124000,2.987964,0.715866,10.807426,4.682898,6.651241,-0.500503
128000,2.966416,0.821211,10.800244,5.110379,7.613074,-0.531037
132000,2.937685,0.845153,10.874464,5.629463,8.269562,-0.653174
136000,2.863465,0.871489,10.826580,6.072211,8.101623,-1.019587
140000,2.858677,0.912191,10.699687,5.812669,7.536737,-1.126457
144000,2.786851,1.005565,10.541670,5.247783,6.956585,-1.279129
148000,2.774880,0.976834,10.338163,4.179081,6.605440,-1.462335
152000,2.868254,0.979228,10.357317,3.110379,6.345898,-1.538671
156000,2.873042,1.034295,10.328587,2.484425,6.101623,-2.103556
160000,2.820370,1.108515,10.402806,1.919539,6.498569,-2.149358
164000,2.758120,1.053449,10.433931,1.476791,6.177959,-2.286762
168000,2.753332,1.122881,10.383653,1.171447,6.376432,-2.454701
172000,2.686294,1.132457,10.474632,1.064577,6.055821,-1.981419
176000,2.650381,1.156399,10.455479,1.110379,5.933684,-2.118823
180000,2.734178,1.189918,10.436325,0.637096,5.338264,-2.225693
184000,2.815581,1.230620,10.340557,0.469157,4.773379,-2.195159
188000,2.822764,1.213860,10.304645,0.179081,4.391699,-2.134090
192000,2.844312,1.125275,10.316615,-0.004125,4.208493,-2.271495
196000,2.880225,1.139640,10.374076,-0.385804,3.948951,-2.225693
200000,2.892196,1.077391,10.333375,-0.828552,3.139791,-2.485235
204000,2.937685,1.098939,10.472239,-1.729316,2.605440,-2.531037
208000,3.059790,1.156399,10.419566,-2.538476,1.536737,-2.973785
212000,3.136404,1.149217,10.491392,-3.286568,0.452768,-3.385999
216000,3.184288,1.115698,10.706870,-3.683514,0.315363,-4.317297
220000,3.229778,1.132457,10.670957,-3.393438,0.376432,-5.202793
224000,3.124433,1.194707,10.757148,-2.691148,1.368798,-6.134090
228000,3.011906,1.244985,10.876859,-1.561377,2.742844,-6.546304
232000,2.808398,1.302446,10.910378,-0.217866,4.727577,-7.080655
236000,2.671929,1.312023,10.994174,1.629462,6.666509,-6.927983
240000,2.626439,1.438915,10.900801,3.461524,9.017653,-6.744777
244000,2.564190,1.395820,10.821792,5.034043,10.697042,-6.408899
248000,2.501941,1.405396,10.654198,5.492058,11.735210,-5.691342
252000,2.597709,1.939303,10.572795,6.637096,11.597806,-5.905083
256000,2.566584,1.292869,10.496181,5.568394,9.521470,-7.202793
260000,2.348712,1.678335,10.240001,4.728699,8.239027,-6.744777
264000,2.379837,2.176329,9.832987,2.759233,5.613073,-6.302029
268000,2.257732,1.690306,9.761160,-1.057560,2.987119,-6.683709
272000,1.917756,1.752556,10.263943,-1.652980,-0.722805,-6.378365
276000,2.248155,1.788469,10.146626,-2.675881,-4.707537,-5.798213
280000,2.327164,1.917756,9.969456,-3.988858,-5.562499,-6.118823
284000,2.123657,1.872266,9.868899,-4.248401,-4.173186,-5.981419
288000,1.867477,1.948880,9.933543,-4.782751,-4.020514,-5.492869
292000,1.711854,2.068590,10.055647,-5.530843,-4.860209,-4.347831
296000,1.616086,2.128445,10.220847,-5.836186,-5.226621,-3.584472
300000,1.525106,2.252944,10.235212,-5.775118,-5.470896,-2.363098
304000,1.520318,2.236184,10.242394,-5.515575,-4.814407,-0.943251
308000,1.448492,2.006341,10.287885,-5.042294,-3.730438,0.491864
312000,1.254562,1.898602,10.278308,-4.355270,-1.867843,1.484230
316000,1.065420,1.872266,10.101137,-4.675881,0.513837,3.407894
320000,1.043872,1.824382,10.240001,-6.065194,3.490936,6.003314
324000,0.991199,1.843535,10.663774,-7.546110,5.475669,8.598734
328000,1.034295,1.731008,11.281479,-7.408706,6.300097,11.133085
332000,1.417367,1.671153,11.896789,-6.172065,6.391699,13.530031
