time_us,ax,ay,az,gx,gy,gz
0,0.026336,0.196325,11.310209,-2.645346,3.903150,-2.805846
4000,-0.016759,0.208296,11.176133,-2.431606,4.300097,-2.546304
8000,-0.158017,0.177171,11.209652,-2.080461,4.742845,-2.256228
12000,-0.210690,0.150835,11.336545,-1.561377,4.422234,-1.279129
16000,-0.117316,0.272939,11.396400,-0.874354,3.063455,-0.531037
20000,-0.031125,0.272939,11.403583,-0.156797,2.529104,-0.103556
24000,0.189142,0.177171,11.307815,0.423356,2.391699,-0.088289
28000,0.205901,0.177171,11.176133,0.331753,2.147424,-0.286762
32000,0.093374,0.162806,11.274296,0.240150,1.658875,-0.454701
36000,-0.038307,0.301669,11.274296,0.530226,-0.066316,0.079650
40000,0.067038,0.189142,11.259931,0.652363,-1.180820,0.247589
44000,0.169988,0.177171,11.257536,1.186714,-1.364026,0.476597
48000,0.126893,0.191536,11.257536,1.476791,-1.180820,0.262856
52000,0.055067,0.248997,11.372458,1.598928,-1.089217,0.247589
56000,-0.055067,0.244209,11.329363,1.965340,-1.379293,0.262856
60000,-0.083797,0.237026,11.365275,2.301218,-2.096850,0.629268
64000,0.033519,0.296881,11.391612,2.911905,-2.432728,0.827742
68000,-0.016759,0.239420,11.269507,3.415722,-2.325858,0.751406
72000,0.040701,0.289698,11.140221,3.492058,-2.417461,0.827742
76000,0.043096,0.306458,11.061212,3.766867,-2.341125,0.781940
80000,0.050278,0.287304,10.939108,3.568394,-2.325858,0.659803
84000,0.095768,0.260968,11.056423,3.064577,-2.005247,0.400261
88000,0.014365,0.342371,11.106702,2.850837,-1.867843,0.140719
92000,-0.100556,0.246603,11.145009,2.972974,-1.501431,0.384994
96000,-0.239420,0.260968,11.123461,3.278317,-1.593034,0.873543
100000,-0.213084,0.210690,11.087548,3.522592,-1.547232,1.820108
104000,-0.155623,0.299275,11.097125,3.889004,-1.654102,2.476597
108000,-0.047884,0.354342,11.087548,3.858470,-1.562499,3.087284
