time_us,ax,ay,az,gx,gy,gz
0,0.114922,0.514753,10.563218,-3.943056,-0.463263,0.003314
4000,0.158017,0.526724,10.718841,-3.897255,-0.860209,-0.546304
8000,0.050278,0.545878,10.793061,-3.698782,-0.478530,-0.912716
12000,-0.098162,0.428562,10.915166,-3.561377,0.498570,-0.943251
16000,-0.248997,0.490811,10.991780,-2.981224,0.864982,-0.469968
20000,-0.284910,0.447716,11.140221,-2.126262,1.322997,0.476597
24000,-0.177171,0.414197,11.137826,-1.179698,1.567272,1.102551
28000,-0.028730,0.452504,11.125855,-0.324736,2.315363,1.133085
32000,0.026336,0.411803,11.089942,0.270684,2.956585,1.087284
36000,-0.002394,0.486023,10.907983,0.392821,2.727577,0.888810
40000,0.021548,0.428562,10.881647,0.301218,3.155058,0.552933
44000,0.122104,0.342371,10.761936,-0.370538,3.429867,-0.164625
48000,0.093374,0.378284,10.919954,-0.721682,3.750478,-0.317297
52000,0.067038,0.371101,11.001357,-0.981224,3.719944,-0.531037
56000,-0.067038,0.414197,11.142614,-0.798018,3.399333,-0.469968
60000,-0.059855,0.464475,11.200075,-0.584278,2.864982,-0.393632
64000,0.076614,0.471658,11.118672,-0.492675,2.574905,0.033849
68000,0.158017,0.509965,11.104307,0.087478,2.513837,-0.240961
72000,0.045490,0.514753,11.118672,0.270684,2.254295,-0.225693
76000,-0.021548,0.557849,11.049241,0.301218,1.719944,-0.302029
80000,-0.126893,0.591368,11.001357,-0.004125,0.910783,-0.454701
84000,-0.177171,0.644040,10.884041,0.179081,0.345898,-0.714243
88000,-0.260968,0.730232,10.855310,-0.080461,0.330631,-0.851648
92000,-0.330400,0.684742,10.776301,-0.095728,0.406966,-0.668442
96000,-0.548272,0.790087,10.793061,-0.110996,-0.020514,-0.164625
100000,-0.775721,0.866701,10.771513,-0.187331,-0.112117,0.476597
104000,-0.735020,0.928950,10.821792,-0.294202,0.071089,1.484230
108000,-0.648829,0.924162,10.723629,-0.019392,0.635974,1.865910
112000,-0.569820,0.931344,10.685322,-0.233133,1.277195,2.430795
116000,-0.543484,1.005565,10.601525,-0.462140,0.437501,2.491864
120000,-0.603339,1.027112,10.599131,-0.599545,-1.043415,2.781940
124000,-0.395043,1.142034,10.488997,-1.164430,-2.051049,2.644536
128000,-0.272939,1.101333,10.330980,-1.759850,-2.463263,2.201787
132000,-0.220267,1.039083,10.321404,-2.019392,-2.417461,1.652169
136000,-0.203507,1.096544,10.409989,-2.660614,-2.234255,1.407894
140000,-0.227449,1.221043,10.481815,-3.164430,-1.226621,1.102551
144000,-0.143652,1.194707,10.587160,-3.408705,-1.012881,0.797207
148000,-0.234632,1.180341,10.620679,-3.668247,-0.631201,0.400261
152000,-0.292093,1.213860,10.752359,-3.897255,-0.310591,0.507131
156000,-0.332794,1.283292,10.833763,-3.759850,-0.783873,0.522398
